_id,type,model
ObjectId(68a718632bbed248f5c0e1e9),laptop,c6
ObjectId(68a718632bbed248f5c0e1ea),laptop,ki2
ObjectId(68a718632bbed248f5c0e1eb),laptop,j3
ObjectId(68a718632bbed248f5c0e1ec),laptop,jl3
ObjectId(68a718632bbed248f5c0e1ed),laptop,c6
ObjectId(68a718632bbed248f5c0e1ee),laptop,ay9
ObjectId(68a718632bbed248f5c0e1ef),laptop,qw2
ObjectId(68a718632bbed248f5c0e1f0),laptop,qw2
ObjectId(68a718632bbed248f5c0e1f1),laptop,ay9
ObjectId(68a718632bbed248f5c0e1f2),laptop,kz
ObjectId(68a718632bbed248f5c0e1f3),laptop,ki2
ObjectId(68a718632bbed248f5c0e1f4),laptop,ki2
ObjectId(68a718632bbed248f5c0e1f5),laptop,j3
ObjectId(68a718632bbed248f5c0e1f6),laptop,qw2
ObjectId(68a718632bbed248f5c0e1f7),laptop,qw2
ObjectId(68a718632bbed248f5c0e1f8),laptop,ay9
ObjectId(68a718632bbed248f5c0e1f9),laptop,jl3
ObjectId(68a718632bbed248f5c0e1fa),laptop,kz
ObjectId(68a718632bbed248f5c0e1fb),laptop,j3
ObjectId(68a718632bbed248f5c0e1fc),laptop,ay9
ObjectId(68a718632bbed248f5c0e1fd),laptop,ki2
ObjectId(68a718632bbed248f5c0e1fe),smart phone,platina
ObjectId(68a718632bbed248f5c0e1ff),laptop,k12
ObjectId(68a718632bbed248f5c0e200),laptop,jl3
ObjectId(68a718632bbed248f5c0e201),laptop,kz
ObjectId(68a718632bbed248f5c0e202),laptop,zeta
ObjectId(68a718632bbed248f5c0e203),laptop,jl3
ObjectId(68a718632bbed248f5c0e204),laptop,zeta
ObjectId(68a718632bbed248f5c0e205),laptop,ay9
ObjectId(68a718632bbed248f5c0e206),laptop,ay9
ObjectId(68a718632bbed248f5c0e207),laptop,zeta
ObjectId(68a718632bbed248f5c0e208),laptop,jl3
ObjectId(68a718632bbed248f5c0e209),laptop,ki2
ObjectId(68a718632bbed248f5c0e20a),laptop,k12
ObjectId(68a718632bbed248f5c0e20b),laptop,qw2
ObjectId(68a718632bbed248f5c0e20c),laptop,k12
ObjectId(68a718632bbed248f5c0e20d),laptop,j3
ObjectId(68a718632bbed248f5c0e20e),laptop,jl3
ObjectId(68a718632bbed248f5c0e20f),laptop,qw2
ObjectId(68a718632bbed248f5c0e210),laptop,j3
ObjectId(68a718632bbed248f5c0e211),laptop,kz
ObjectId(68a718632bbed248f5c0e212),laptop,k12
ObjectId(68a718632bbed248f5c0e213),laptop,k12
ObjectId(68a718632bbed248f5c0e214),laptop,zeta
ObjectId(68a718632bbed248f5c0e215),laptop,qw2
ObjectId(68a718632bbed248f5c0e216),laptop,qw2
ObjectId(68a718632bbed248f5c0e217),laptop,k12
ObjectId(68a718632bbed248f5c0e218),laptop,k12
ObjectId(68a718632bbed248f5c0e219),laptop,kz
ObjectId(68a718632bbed248f5c0e21a),laptop,ki2
ObjectId(68a718632bbed248f5c0e21b),laptop,j3
ObjectId(68a718632bbed248f5c0e21c),laptop,c6
ObjectId(68a718632bbed248f5c0e21d),laptop,qw2
ObjectId(68a718632bbed248f5c0e21e),laptop,ay9
ObjectId(68a718632bbed248f5c0e21f),laptop,kz
ObjectId(68a718632bbed248f5c0e220),laptop,j3
ObjectId(68a718632bbed248f5c0e221),laptop,ay9
ObjectId(68a718632bbed248f5c0e222),laptop,ay9
ObjectId(68a718632bbed248f5c0e223),laptop,ki2
ObjectId(68a718632bbed248f5c0e224),laptop,c6
ObjectId(68a718632bbed248f5c0e225),laptop,kz
ObjectId(68a718632bbed248f5c0e226),laptop,ki2
ObjectId(68a718632bbed248f5c0e227),laptop,k12
ObjectId(68a718632bbed248f5c0e228),laptop,ki2
ObjectId(68a718632bbed248f5c0e229),laptop,ay9
ObjectId(68a718632bbed248f5c0e22a),laptop,qw2
ObjectId(68a718632bbed248f5c0e22b),laptop,zeta
ObjectId(68a718632bbed248f5c0e22c),laptop,qw2
ObjectId(68a718632bbed248f5c0e22d),laptop,qw2
ObjectId(68a718632bbed248f5c0e22e),laptop,zeta
ObjectId(68a718632bbed248f5c0e22f),laptop,k12
ObjectId(68a718632bbed248f5c0e230),laptop,qw2
ObjectId(68a718632bbed248f5c0e231),laptop,k12
ObjectId(68a718632bbed248f5c0e232),laptop,kz
ObjectId(68a718632bbed248f5c0e233),laptop,j3
ObjectId(68a718632bbed248f5c0e234),laptop,ki2
ObjectId(68a718632bbed248f5c0e235),laptop,c6
ObjectId(68a718632bbed248f5c0e236),laptop,k12
ObjectId(68a718632bbed248f5c0e237),laptop,k12
ObjectId(68a718632bbed248f5c0e238),laptop,k12
ObjectId(68a718632bbed248f5c0e239),laptop,k12
ObjectId(68a718632bbed248f5c0e23a),laptop,kz
ObjectId(68a718632bbed248f5c0e23b),laptop,ay9
ObjectId(68a718632bbed248f5c0e23c),laptop,ay9
ObjectId(68a718632bbed248f5c0e23d),laptop,j3
ObjectId(68a718632bbed248f5c0e23e),laptop,c6
ObjectId(68a718632bbed248f5c0e23f),laptop,kz
ObjectId(68a718632bbed248f5c0e240),laptop,c6
ObjectId(68a718632bbed248f5c0e241),laptop,k12
ObjectId(68a718632bbed248f5c0e242),laptop,kz
ObjectId(68a718632bbed248f5c0e243),laptop,kz
ObjectId(68a718632bbed248f5c0e244),laptop,ay9
ObjectId(68a718632bbed248f5c0e245),laptop,jl3
ObjectId(68a718632bbed248f5c0e246),laptop,ay9
ObjectId(68a718632bbed248f5c0e247),laptop,qw2
ObjectId(68a718632bbed248f5c0e248),laptop,j3
ObjectId(68a718632bbed248f5c0e249),laptop,kz
ObjectId(68a718632bbed248f5c0e24a),laptop,c6
ObjectId(68a718632bbed248f5c0e24b),laptop,c6
ObjectId(68a718632bbed248f5c0e24c),laptop,ki2
ObjectId(68a718632bbed248f5c0e24d),laptop,j3
ObjectId(68a718632bbed248f5c0e24e),laptop,zeta
ObjectId(68a718632bbed248f5c0e24f),laptop,k12
ObjectId(68a718632bbed248f5c0e250),laptop,k12
ObjectId(68a718632bbed248f5c0e251),laptop,c6
ObjectId(68a718632bbed248f5c0e252),laptop,k12
ObjectId(68a718632bbed248f5c0e253),laptop,kz
ObjectId(68a718632bbed248f5c0e254),laptop,ay9
ObjectId(68a718632bbed248f5c0e255),laptop,kz
ObjectId(68a718632bbed248f5c0e256),laptop,kz
ObjectId(68a718632bbed248f5c0e257),laptop,ay9
ObjectId(68a718632bbed248f5c0e258),laptop,ay9
ObjectId(68a718632bbed248f5c0e259),laptop,ki2
ObjectId(68a718632bbed248f5c0e25a),laptop,ki2
ObjectId(68a718632bbed248f5c0e25b),laptop,ki2
ObjectId(68a718632bbed248f5c0e25c),laptop,k12
ObjectId(68a718632bbed248f5c0e25d),laptop,c6
ObjectId(68a718632bbed248f5c0e25e),laptop,kz
ObjectId(68a718632bbed248f5c0e25f),laptop,k12
ObjectId(68a718632bbed248f5c0e260),laptop,j3
ObjectId(68a718632bbed248f5c0e261),laptop,ki2
ObjectId(68a718632bbed248f5c0e262),laptop,qw2
ObjectId(68a718632bbed248f5c0e263),laptop,k12
ObjectId(68a718632bbed248f5c0e264),laptop,kz
ObjectId(68a718632bbed248f5c0e265),laptop,ki2
ObjectId(68a718632bbed248f5c0e266),laptop,kz
ObjectId(68a718632bbed248f5c0e267),laptop,ki2
ObjectId(68a718632bbed248f5c0e268),laptop,zeta
ObjectId(68a718632bbed248f5c0e269),laptop,k12
ObjectId(68a718632bbed248f5c0e26a),laptop,jl3
ObjectId(68a718632bbed248f5c0e26b),laptop,zeta
ObjectId(68a718632bbed248f5c0e26c),laptop,ay9
ObjectId(68a718632bbed248f5c0e26d),laptop,qw2
ObjectId(68a718632bbed248f5c0e26e),laptop,j3
ObjectId(68a718632bbed248f5c0e26f),laptop,k12
ObjectId(68a718632bbed248f5c0e270),laptop,ki2
ObjectId(68a718632bbed248f5c0e271),laptop,k12
ObjectId(68a718632bbed248f5c0e272),laptop,qw2
ObjectId(68a718632bbed248f5c0e273),laptop,c6
ObjectId(68a718632bbed248f5c0e274),laptop,zeta
ObjectId(68a718632bbed248f5c0e275),laptop,kz
ObjectId(68a718632bbed248f5c0e276),laptop,c6
ObjectId(68a718632bbed248f5c0e277),laptop,ki2
ObjectId(68a718632bbed248f5c0e278),laptop,ay9
ObjectId(68a718632bbed248f5c0e279),laptop,ay9
ObjectId(68a718632bbed248f5c0e27a),laptop,ay9
ObjectId(68a718632bbed248f5c0e27b),laptop,zeta
ObjectId(68a718632bbed248f5c0e27c),laptop,jl3
ObjectId(68a718632bbed248f5c0e27d),laptop,ki2
ObjectId(68a718632bbed248f5c0e27e),laptop,k12
ObjectId(68a718632bbed248f5c0e27f),laptop,qw2
ObjectId(68a718632bbed248f5c0e280),laptop,jl3
ObjectId(68a718632bbed248f5c0e281),laptop,ay9
ObjectId(68a718632bbed248f5c0e282),laptop,zeta
ObjectId(68a718632bbed248f5c0e283),laptop,ki2
ObjectId(68a718632bbed248f5c0e284),laptop,jl3
ObjectId(68a718632bbed248f5c0e285),laptop,c6
ObjectId(68a718632bbed248f5c0e286),laptop,jl3
ObjectId(68a718632bbed248f5c0e287),laptop,zeta
ObjectId(68a718632bbed248f5c0e288),laptop,zeta
ObjectId(68a718632bbed248f5c0e289),laptop,ay9
ObjectId(68a718632bbed248f5c0e28a),laptop,ay9
ObjectId(68a718632bbed248f5c0e28b),laptop,ay9
ObjectId(68a718632bbed248f5c0e28c),laptop,jl3
ObjectId(68a718632bbed248f5c0e28d),laptop,k12
ObjectId(68a718632bbed248f5c0e28e),laptop,ki2
ObjectId(68a718632bbed248f5c0e28f),laptop,kz
ObjectId(68a718632bbed248f5c0e290),laptop,qw2
ObjectId(68a718632bbed248f5c0e291),laptop,jl3
ObjectId(68a718632bbed248f5c0e292),laptop,ay9
ObjectId(68a718632bbed248f5c0e293),laptop,jl3
ObjectId(68a718632bbed248f5c0e294),laptop,ay9
ObjectId(68a718632bbed248f5c0e295),laptop,zeta
ObjectId(68a718632bbed248f5c0e296),laptop,j3
ObjectId(68a718632bbed248f5c0e297),laptop,ki2
ObjectId(68a718632bbed248f5c0e298),laptop,c6
ObjectId(68a718632bbed248f5c0e299),laptop,kz
ObjectId(68a718632bbed248f5c0e29a),laptop,ki2
ObjectId(68a718632bbed248f5c0e29b),laptop,c6
ObjectId(68a718632bbed248f5c0e29c),laptop,kz
ObjectId(68a718632bbed248f5c0e29d),laptop,j3
ObjectId(68a718632bbed248f5c0e29e),laptop,c6
ObjectId(68a718632bbed248f5c0e29f),laptop,c6
ObjectId(68a718632bbed248f5c0e2a0),laptop,ki2
ObjectId(68a718632bbed248f5c0e2a1),laptop,ay9
ObjectId(68a718632bbed248f5c0e2a2),laptop,jl3
ObjectId(68a718632bbed248f5c0e2a3),laptop,jl3
ObjectId(68a718632bbed248f5c0e2a4),laptop,zeta
ObjectId(68a718632bbed248f5c0e2a5),laptop,c6
ObjectId(68a718632bbed248f5c0e2a6),laptop,kz
ObjectId(68a718632bbed248f5c0e2a7),laptop,ki2
ObjectId(68a718632bbed248f5c0e2a8),laptop,j3
ObjectId(68a718632bbed248f5c0e2a9),laptop,kz
ObjectId(68a718632bbed248f5c0e2aa),laptop,qw2
ObjectId(68a718632bbed248f5c0e2ab),laptop,zeta
ObjectId(68a718632bbed248f5c0e2ac),laptop,qw2
ObjectId(68a718632bbed248f5c0e2ad),laptop,k12
ObjectId(68a718632bbed248f5c0e2ae),laptop,jl3
ObjectId(68a718632bbed248f5c0e2af),laptop,jl3
ObjectId(68a718632bbed248f5c0e2b0),laptop,zeta
ObjectId(68a718632bbed248f5c0e2b1),laptop,ki2
ObjectId(68a718632bbed248f5c0e2b2),laptop,c6
ObjectId(68a718632bbed248f5c0e2b3),laptop,kz
ObjectId(68a718632bbed248f5c0e2b4),laptop,j3
ObjectId(68a718632bbed248f5c0e2b5),laptop,ay9
ObjectId(68a718632bbed248f5c0e2b6),laptop,ki2
ObjectId(68a718632bbed248f5c0e2b7),laptop,kz
ObjectId(68a718632bbed248f5c0e2b8),laptop,k12
ObjectId(68a718632bbed248f5c0e2b9),laptop,j3
ObjectId(68a718632bbed248f5c0e2ba),laptop,c6
ObjectId(68a718632bbed248f5c0e2bb),laptop,c6
ObjectId(68a718632bbed248f5c0e2bc),laptop,j3
ObjectId(68a718632bbed248f5c0e2bd),laptop,kz
ObjectId(68a718632bbed248f5c0e2be),laptop,c6
ObjectId(68a718632bbed248f5c0e2bf),laptop,qw2
ObjectId(68a718632bbed248f5c0e2c0),laptop,j3
ObjectId(68a718632bbed248f5c0e2c1),laptop,jl3
ObjectId(68a718632bbed248f5c0e2c2),laptop,ay9
ObjectId(68a718632bbed248f5c0e2c3),laptop,c6
ObjectId(68a718632bbed248f5c0e2c4),laptop,ki2
ObjectId(68a718632bbed248f5c0e2c5),laptop,kz
ObjectId(68a718632bbed248f5c0e2c6),laptop,ay9
ObjectId(68a718632bbed248f5c0e2c7),laptop,j3
ObjectId(68a718632bbed248f5c0e2c8),laptop,jl3
ObjectId(68a718632bbed248f5c0e2c9),laptop,j3
ObjectId(68a718632bbed248f5c0e2ca),laptop,ay9
ObjectId(68a718632bbed248f5c0e2cb),laptop,k12
ObjectId(68a718632bbed248f5c0e2cc),laptop,jl3
ObjectId(68a718632bbed248f5c0e2cd),laptop,kz
ObjectId(68a718632bbed248f5c0e2ce),laptop,c6
ObjectId(68a718632bbed248f5c0e2cf),laptop,kz
ObjectId(68a718632bbed248f5c0e2d0),laptop,qw2
ObjectId(68a718632bbed248f5c0e2d1),laptop,zeta
ObjectId(68a718632bbed248f5c0e2d2),laptop,c6
ObjectId(68a718632bbed248f5c0e2d3),laptop,kz
ObjectId(68a718632bbed248f5c0e2d4),laptop,ki2
ObjectId(68a718632bbed248f5c0e2d5),laptop,j3
ObjectId(68a718632bbed248f5c0e2d6),laptop,ki2
ObjectId(68a718632bbed248f5c0e2d7),laptop,zeta
ObjectId(68a718632bbed248f5c0e2d8),laptop,ay9
ObjectId(68a718632bbed248f5c0e2d9),laptop,jl3
ObjectId(68a718632bbed248f5c0e2da),laptop,jl3
ObjectId(68a718632bbed248f5c0e2db),laptop,zeta
ObjectId(68a718632bbed248f5c0e2dc),laptop,ay9
ObjectId(68a718632bbed248f5c0e2dd),laptop,kz
ObjectId(68a718632bbed248f5c0e2de),laptop,j3
ObjectId(68a718632bbed248f5c0e2df),laptop,k12
ObjectId(68a718632bbed248f5c0e2e0),laptop,c6
ObjectId(68a718632bbed248f5c0e2e1),laptop,ay9
ObjectId(68a718632bbed248f5c0e2e2),laptop,ki2
ObjectId(68a718632bbed248f5c0e2e3),laptop,qw2
ObjectId(68a718632bbed248f5c0e2e4),laptop,k12
ObjectId(68a718632bbed248f5c0e2e5),laptop,ki2
ObjectId(68a718632bbed248f5c0e2e6),laptop,j3
ObjectId(68a718632bbed248f5c0e2e7),laptop,kz
ObjectId(68a718632bbed248f5c0e2e8),laptop,kz
ObjectId(68a718632bbed248f5c0e2e9),laptop,jl3
ObjectId(68a718632bbed248f5c0e2ea),laptop,c6
ObjectId(68a718632bbed248f5c0e2eb),laptop,k12
ObjectId(68a718632bbed248f5c0e2ec),laptop,k12
ObjectId(68a718632bbed248f5c0e2ed),laptop,zeta
ObjectId(68a718632bbed248f5c0e2ee),laptop,qw2
ObjectId(68a718632bbed248f5c0e2ef),laptop,kz
ObjectId(68a718632bbed248f5c0e2f0),laptop,qw2
ObjectId(68a718632bbed248f5c0e2f1),laptop,qw2
ObjectId(68a718632bbed248f5c0e2f2),laptop,qw2
ObjectId(68a718632bbed248f5c0e2f3),laptop,ki2
ObjectId(68a718632bbed248f5c0e2f4),laptop,ki2
ObjectId(68a718632bbed248f5c0e2f5),laptop,zeta
ObjectId(68a718632bbed248f5c0e2f6),laptop,jl3
ObjectId(68a718632bbed248f5c0e2f7),laptop,k12
ObjectId(68a718632bbed248f5c0e2f8),laptop,kz
ObjectId(68a718632bbed248f5c0e2f9),laptop,zeta
ObjectId(68a718632bbed248f5c0e2fa),laptop,ay9
ObjectId(68a718632bbed248f5c0e2fb),laptop,c6
ObjectId(68a718632bbed248f5c0e2fc),laptop,qw2
ObjectId(68a718632bbed248f5c0e2fd),laptop,ki2
ObjectId(68a718632bbed248f5c0e2fe),laptop,j3
ObjectId(68a718632bbed248f5c0e2ff),laptop,c6
ObjectId(68a718632bbed248f5c0e300),laptop,qw2
ObjectId(68a718632bbed248f5c0e301),laptop,zeta
ObjectId(68a718632bbed248f5c0e302),laptop,zeta
ObjectId(68a718632bbed248f5c0e303),laptop,ki2
ObjectId(68a718632bbed248f5c0e304),laptop,ay9
ObjectId(68a718632bbed248f5c0e305),laptop,j3
ObjectId(68a718632bbed248f5c0e306),laptop,c6
ObjectId(68a718632bbed248f5c0e307),laptop,j3
ObjectId(68a718632bbed248f5c0e308),laptop,c6
ObjectId(68a718632bbed248f5c0e309),laptop,j3
ObjectId(68a718632bbed248f5c0e30a),laptop,jl3
ObjectId(68a718632bbed248f5c0e30b),laptop,ay9
ObjectId(68a718632bbed248f5c0e30c),laptop,qw2
ObjectId(68a718632bbed248f5c0e30d),laptop,qw2
ObjectId(68a718632bbed248f5c0e30e),laptop,jl3
ObjectId(68a718632bbed248f5c0e30f),laptop,c6
ObjectId(68a718632bbed248f5c0e310),laptop,qw2
ObjectId(68a718632bbed248f5c0e311),laptop,k12
ObjectId(68a718632bbed248f5c0e312),laptop,j3
ObjectId(68a718632bbed248f5c0e313),laptop,c6
ObjectId(68a718632bbed248f5c0e314),laptop,jl3
ObjectId(68a718632bbed248f5c0e315),laptop,k12
ObjectId(68a718632bbed248f5c0e316),laptop,ki2
ObjectId(68a718632bbed248f5c0e317),laptop,c6
ObjectId(68a718632bbed248f5c0e318),laptop,ki2
ObjectId(68a718632bbed248f5c0e319),laptop,k12
ObjectId(68a718632bbed248f5c0e31a),laptop,zeta
ObjectId(68a718632bbed248f5c0e31b),laptop,ay9
ObjectId(68a718632bbed248f5c0e31c),laptop,j3
ObjectId(68a718632bbed248f5c0e31d),laptop,ki2
ObjectId(68a718632bbed248f5c0e31e),laptop,jl3
ObjectId(68a718632bbed248f5c0e31f),laptop,k12
ObjectId(68a718632bbed248f5c0e320),laptop,qw2
ObjectId(68a718632bbed248f5c0e321),laptop,jl3
ObjectId(68a718632bbed248f5c0e322),laptop,j3
ObjectId(68a718632bbed248f5c0e323),laptop,c6
ObjectId(68a718632bbed248f5c0e324),laptop,c6
ObjectId(68a718632bbed248f5c0e325),laptop,jl3
ObjectId(68a718632bbed248f5c0e326),laptop,jl3
ObjectId(68a718632bbed248f5c0e327),laptop,qw2
ObjectId(68a718632bbed248f5c0e328),laptop,k12
ObjectId(68a718632bbed248f5c0e329),laptop,kz
ObjectId(68a718632bbed248f5c0e32a),laptop,j3
ObjectId(68a718632bbed248f5c0e32b),laptop,jl3
ObjectId(68a718632bbed248f5c0e32c),laptop,ay9
ObjectId(68a718632bbed248f5c0e32d),laptop,zeta
ObjectId(68a718632bbed248f5c0e32e),laptop,qw2
ObjectId(68a718632bbed248f5c0e32f),laptop,jl3
ObjectId(68a718632bbed248f5c0e330),laptop,jl3
ObjectId(68a718632bbed248f5c0e331),laptop,zeta
ObjectId(68a718632bbed248f5c0e332),laptop,zeta
ObjectId(68a718632bbed248f5c0e333),laptop,qw2
ObjectId(68a718632bbed248f5c0e334),laptop,k12
ObjectId(68a718632bbed248f5c0e335),laptop,c6
ObjectId(68a718632bbed248f5c0e336),laptop,j3
ObjectId(68a718632bbed248f5c0e337),laptop,j3
ObjectId(68a718632bbed248f5c0e338),laptop,kz
ObjectId(68a718632bbed248f5c0e339),laptop,j3
ObjectId(68a718632bbed248f5c0e33a),laptop,j3
ObjectId(68a718632bbed248f5c0e33b),laptop,jl3
ObjectId(68a718632bbed248f5c0e33c),laptop,zeta
ObjectId(68a718632bbed248f5c0e33d),laptop,zeta
ObjectId(68a718632bbed248f5c0e33e),laptop,jl3
ObjectId(68a718632bbed248f5c0e33f),laptop,zeta
ObjectId(68a718632bbed248f5c0e340),laptop,jl3
ObjectId(68a718632bbed248f5c0e341),laptop,k12
ObjectId(68a718632bbed248f5c0e342),laptop,ki2
ObjectId(68a718632bbed248f5c0e343),laptop,ki2
ObjectId(68a718632bbed248f5c0e344),laptop,zeta
ObjectId(68a718632bbed248f5c0e345),laptop,c6
ObjectId(68a718632bbed248f5c0e346),laptop,jl3
ObjectId(68a718632bbed248f5c0e347),laptop,ay9
ObjectId(68a718632bbed248f5c0e348),laptop,zeta
ObjectId(68a718632bbed248f5c0e349),laptop,ki2
ObjectId(68a718632bbed248f5c0e34a),laptop,k12
ObjectId(68a718632bbed248f5c0e34b),laptop,k12
ObjectId(68a718632bbed248f5c0e34c),laptop,ki2
ObjectId(68a718632bbed248f5c0e34d),laptop,ay9
ObjectId(68a718632bbed248f5c0e34e),laptop,qw2
ObjectId(68a718632bbed248f5c0e34f),laptop,kz
ObjectId(68a718632bbed248f5c0e350),laptop,qw2
ObjectId(68a718632bbed248f5c0e351),laptop,j3
ObjectId(68a718632bbed248f5c0e352),laptop,zeta
ObjectId(68a718632bbed248f5c0e353),laptop,c6
ObjectId(68a718632bbed248f5c0e354),laptop,jl3
ObjectId(68a718632bbed248f5c0e355),laptop,j3
ObjectId(68a718632bbed248f5c0e356),laptop,j3
ObjectId(68a718632bbed248f5c0e357),laptop,qw2
ObjectId(68a718632bbed248f5c0e358),laptop,kz
ObjectId(68a718632bbed248f5c0e359),laptop,zeta
ObjectId(68a718632bbed248f5c0e35a),laptop,qw2
ObjectId(68a718632bbed248f5c0e35b),laptop,kz
ObjectId(68a718632bbed248f5c0e35c),laptop,j3
ObjectId(68a718632bbed248f5c0e35d),laptop,zeta
ObjectId(68a718632bbed248f5c0e35e),laptop,ay9
ObjectId(68a718632bbed248f5c0e35f),laptop,j3
ObjectId(68a718632bbed248f5c0e360),laptop,j3
ObjectId(68a718632bbed248f5c0e361),laptop,c6
ObjectId(68a718632bbed248f5c0e362),laptop,ay9
ObjectId(68a718632bbed248f5c0e363),television,jk23
ObjectId(68a718632bbed248f5c0e364),television,jk23
ObjectId(68a718632bbed248f5c0e365),television,k20
ObjectId(68a718632bbed248f5c0e366),television,boom
ObjectId(68a718632bbed248f5c0e367),television,jk23
ObjectId(68a718632bbed248f5c0e368),television,ss2
ObjectId(68a718632bbed248f5c0e369),television,jk23
ObjectId(68a718632bbed248f5c0e36a),television,k20
ObjectId(68a718632bbed248f5c0e36b),television,ss2
ObjectId(68a718632bbed248f5c0e36c),television,boom
ObjectId(68a718632bbed248f5c0e36d),television,ss2
ObjectId(68a718632bbed248f5c0e36e),television,dj1
ObjectId(68a718632bbed248f5c0e36f),television,jk23
ObjectId(68a718632bbed248f5c0e370),television,k20
ObjectId(68a718632bbed248f5c0e371),television,boom
ObjectId(68a718632bbed248f5c0e372),television,k20
ObjectId(68a718632bbed248f5c0e373),television,k20
ObjectId(68a718632bbed248f5c0e374),television,ss2
ObjectId(68a718632bbed248f5c0e375),television,dj1
ObjectId(68a718632bbed248f5c0e376),television,boom
ObjectId(68a718632bbed248f5c0e377),television,dj1
ObjectId(68a718632bbed248f5c0e378),television,dj1
ObjectId(68a718632bbed248f5c0e379),television,boom
ObjectId(68a718632bbed248f5c0e37a),television,dj1
ObjectId(68a718632bbed248f5c0e37b),television,ss2
